Program Name,Acronym,Agency,Prime Contractor,City,State,ZIP Code,Contract Number,Contract Value,Period Start,Period End
Integrated Strategic & Expeditionary Operations (DIA ISEO variant),ISEO (ISE Ops),DIA,Leidos,RESTON,VIRGINIA,20190,70T04019C9DAP3006,"$862,620,736.01",2019-10-01,2025-03-31
Intelligence Community Infrastructure Support,I2TS-Next,Army,Jacobs,FARMINGTON,NEW MEXICO,87401,140R4024C0013,"$263,095,350.76",2024-08-30,2029-12-24
Intelligence Systems Enterprise Operations,ISEO,DIA,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
Intelligence Systems Infrastructure Tools & Enhancements,inSITE,DoD,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
ITEMSS (IT Enterprise Mgmt Systems Solution),ITEMSS,Army,CACI,CHANTILLY,VIRGINIA,20151,W15QKN15C0049,"$733,720,754.55",2015-05-18,2025-06-02
JGLASS II – Shared Services,JGLASS II,DHS,Peraton / SAIC (indicative),MC LEAN,VIRGINIA,22101,GST0011AJ0025,"$609,128,623.96",2011-02-02,2018-05-02
Joint Staff J7 Support,JS J7,DoD,HII,SPRINGFIELD,VIRGINIA,22150,19AQMM18C0185,"$1,495,085,754.52",2019-06-19,2029-08-07
Joint Tactical Ground Station Early Warning,JTAGS,Army,Northrop (prime/sub),MELBOURNE,FLORIDA,32904,N0001918C1037,"$8,447,894,780.67",2018-02-15,2030-02-01
Joint Tactical Ground Stations,JTAGS,Space Force,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
Joint Warfighting Cloud Capability,JWCC,DoD,AWS; Microsoft; Google; Oracle,ABERDEEN PROVING GROUND,MARYLAND,21005,W91CRB20F0448,"$290,537,976.81",2020-09-01,2024-05-31
JSP Enterprise IT,JSP,DoD,CACI,ARLINGTON,VIRGINIA,22202,47QFRA19F0011,"$708,253,079.87",2019-05-08,2024-04-30
JSP ETM (Pentagon IT),JSP ETM,DoD,CACI,RESTON,VIRGINIA,20191,GSQ0017AJ0006,"$960,038,373.03",2016-10-28,2022-02-28
Justified (SAP Security),Justified,Air Force,SAIC (inferred),SAN ANTONIO,TEXAS,78243,FA877319FA023,"$39,874,973.53",2019-04-28,2025-10-27
Justified SAP Security Contract (Hanscom/Bolling),needs-scrape,Air Force,Booz Allen Hamilton,WASHINGTON,DISTRICT OF COLUMBIA,20301,47QFCA21F0018,"$1,379,603,153.12",2021-03-09,2025-02-15
JWCC – ATAT Expansion Path,JWCC,DISA,AWS; Microsoft; Google; Oracle,ABERDEEN PROVING GROUND,MARYLAND,21005,W91CRB20F0448,"$290,537,976.81",2020-09-01,2024-05-31
Kennedy Space Center BOSS,KSC BOSS,NASA,Jacobs / Amentum (past),ORLANDO,FLORIDA,32899,NNK13MA14C,"$2,099,373,524.58",2013-03-01,2023-04-30
LANL/NNSA VTC Engineering Support,LANL VTC,NSA,GDIT,SPRINGFIELD,VIRGINIA,22150,19AQMM18C0185,"$1,495,085,754.52",2019-06-19,2029-08-07
LANL/NNSA VTC Support,,NSA,GDIT,SPRINGFIELD,VIRGINIA,22150,19AQMM18C0185,"$1,495,085,754.52",2019-06-19,2029-08-07
LATERALUS (IC Space ISR),LATERALUS,NSA,Raytheon,EAST HARTFORD,CONNECTICUT,06118,N0001918C1021,"$8,688,654,906.89",2018-03-23,2024-12-30
LATERALUS (Space ISR),LATERALUS,NSA,Raytheon,EAST HARTFORD,CONNECTICUT,06118,N0001918C1021,"$8,688,654,906.89",2018-03-23,2024-12-30
LRAAM (Long Range AAM),LRAAM,Air Force,Raytheon (indicative),EAST HARTFORD,CONNECTICUT,06118,FA861108C2896,"$3,648,685,783.01",2008-01-01,2022-05-31
Managed IT Services (USTRANSCOM),MITS,DoD,SAIC,COLORADO SPRINGS,COLORADO,80912,FA251822F0034,"$2,893,647.82",2022-06-27,2026-06-28
Marine Corps Enterprise Network,MCEN,Marines,Leidos / GDIT,SPRINGFIELD,VIRGINIA,22150,19AQMM18C0185,"$1,495,085,754.52",2019-06-19,2029-08-07
Mark 48 Heavyweight Torpedo,Mk-48,Navy,Raytheon (indicative),ANDOVER,MASSACHUSETTS,01810,N0002422C5500,"$3,265,910,249.19",2022-03-31,2028-09-30
Mark-48 Torpedo (sub-program reference),Mark-48,Navy,Raytheon (indicative),ANDOVER,MASSACHUSETTS,01810,N0002422C5500,"$3,265,910,249.19",2022-03-31,2028-09-30
MDA Tactical Embedded Systems,,MDA,Northrop Grumman,CHANDLER,ARIZONA,85286,HQ085621C0003,"$2,395,436,919.18",2021-03-25,2028-12-31
MHS GENESIS (DHMSM),DHMSM,DoD,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
MHS GENESIS / Leidos Partnership for Defense Health,LPDH,DoD,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
Mission Partner Environment,MPE,DoD,GDIT,SPRINGFIELD,VIRGINIA,22150,19AQMM18C0185,"$1,495,085,754.52",2019-06-19,2029-08-07
Mission Partner Environment (Field Ops / MPCO),MPE / MPCO,Air Force,GDIT,SPRINGFIELD,VIRGINIA,22150,19AQMM18C0185,"$1,495,085,754.52",2019-06-19,2029-08-07
Mission Partner Environment (successor to BICES),MPE,DoD,GDIT,SPRINGFIELD,VIRGINIA,22150,19AQMM18C0185,"$1,495,085,754.52",2019-06-19,2029-08-07
MOJAVE / ACADIA,,NGA,CACI (indicative),CHANTILLY,VIRGINIA,20151,47QFCA20F0010,"$824,303,222.05",2019-11-05,2024-09-29
MPCO VMOD (Voice Modernization),VMOD,Army,CACI (indicative),CHANTILLY,VIRGINIA,20151,W15QKN15C0049,"$733,720,754.55",2015-05-18,2025-06-02
MSS Smart Systems (Palantir contract),MSS,Army,Palantir,PALO ALTO,CALIFORNIA,94301,W911QX24F0113,"$70,668,314.50",2024-09-27,2026-03-31
Multi-Mission Command & Control,M2C2,MDA,Lockheed Martin / Raytheon,FORT WORTH,TEXAS,76108,N0001902C3002,"$34,173,959,111.96",2001-10-26,2022-12-16
NARSIL,NARSIL,DoD,Peraton (indicative),FORT GEORGE G MEADE,MARYLAND,20755,47QFCA19F0033,"$487,767,432.14",2019-02-11,2024-02-11
NARSIL – Advanced Research for System Intelligence & Learning,NARSIL,IC,Peraton,HERNDON,VIRGINIA,20170,80GSFC19C0063,"$1,414,704,681.90",2019-10-01,2026-03-31
NASA Enterprise Service Support Technology,NESST,NASA,SAIC / Leidos (indicative),HOUSTON,TEXAS,77058,NNJ09HD46C,"$1,306,805,321.14",2008-11-07,2018-02-28
NASA SENSE (Space Comms & Tracking),SENSE,NASA,Peraton,HERNDON,VIRGINIA,20170,80GSFC19C0063,"$1,414,704,681.90",2019-10-01,2026-03-31
NASA Space Network Evolution,SENSE,NASA,Peraton,HERNDON,VIRGINIA,20170,80GSFC19C0063,"$1,414,704,681.90",2019-10-01,2026-03-31
NAVAIR Flight Operations Support,NAVAIR Flight Ops,Navy,Vertex Aerospace,ORLANDO,FLORIDA,32899,NNK13MA14C,"$2,099,373,524.58",2013-03-01,2023-04-30
Navy Aegis Combat System Modernization,AEGIS,Navy,Lockheed Martin,FORT WORTH,TEXAS,76108,N0001917C0001,"$35,135,514,910.20",2017-11-17,2031-03-31
Navy Enterprise Service Desk,NESD,Navy,Leidos,MORGANTOWN,WEST VIRGINIA,26507,89243318CFE000003,"$960,260,804.00",2018-12-31,2028-12-30
Next Generation Interceptor,NGI,MDA,Northrop Grumman & Boeing,CHANDLER,ARIZONA,85286,HQ085621C0003,"$2,395,436,919.18",2021-03-25,2028-12-31
NextGen GEO (Network/Ops),NGG,Space Force,Northrop Grumman,REDONDO BEACH,CALIFORNIA,90278,FA881018C0006,"$3,084,107,116.60",2018-06-25,2031-04-11
Next-Gen OPIR (Ground + Payload),Next-Gen OPIR,Space Force,Northrop Grumman,REDONDO BEACH,CALIFORNIA,90278,FA881018C0006,"$3,084,107,116.60",2018-06-25,2031-04-11
Next-Generation Overhead Persistent Infrared,NG OPIR (classified),Space Force,Northrop Grumman,REDONDO BEACH,CALIFORNIA,90278,FA881018C0006,"$3,084,107,116.60",2018-06-25,2031-04-11
NGA Enterprise Engineering,NEE,NGA,Peraton (Perspecta heritage),HERNDON,VIRGINIA,20170,80GSFC19C0063,"$1,414,704,681.90",2019-10-01,2026-03-31
NGA Enterprise IT Modernization – MOJAVE / ACADIA,MOJAVE / ACADIA,NGA,CACI,ARLINGTON,VIRGINIA,22202,47QFRA19F0011,"$708,253,079.87",2019-05-08,2024-04-30
NGEN-R — Enterprise Network Program,NGEN-R,Navy,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,Leidos,MORGANTOWN,WEST VIRGINIA,26507,89243318CFE000003,"$960,260,804.00",2018-12-31,2028-12-30
NGEN-R SMIT (Already normalized — link-only reference row),NGEN-R SMIT,Navy,Leidos,FREDERICK,MARYLAND,21702,HHSN261200800001E,"$4,813,063,024.90",2008-09-26,2024-09-06
NGOPIR / NGG / NGOPIR (already normalized — link row),,Space Force,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
NORAD/NORTHCOM IT Infrastructure Support (NISSC II),NISSC II,Air Force,Jacobs,ORLANDO,FLORIDA,32899,NNK13MA14C,"$2,099,373,524.58",2013-03-01,2023-04-30
NRO Ground Systems DevOps (Seal Beach),,NRO,Boeing,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
OUSD(A&S) Professional Support Services,OUSD(A&S) PSS,DoD,LMI,FORT WORTH,TEXAS,76108,N0001917C0001,"$35,135,514,910.20",2017-11-17,2031-03-31
OUSD(P&R) PRISM (Consolidated),PRISM,DoD,"11 primes (CTC, SAIC, Booz Allen, ManTech…)",WASHINGTON,DISTRICT OF COLUMBIA,20301,47QFCA21F0018,"$1,379,603,153.12",2021-03-09,2025-02-15
PAC-3 (Consolidated),PAC-3,Army,Lockheed Martin,GRAND PRAIRIE,TEXAS,75051,W31P4Q20C0023,"$10,475,203,569.62",2020-04-30,2033-09-30
PAC-3 Missile Family (Consolidated),PAC-3 / PAC-3 MSE,Army,Lockheed Martin Missiles & Fire Control,GRAND PRAIRIE,TEXAS,75051,W31P4Q20C0023,"$10,475,203,569.62",2020-04-30,2033-09-30
PAC-3 Missile Segment Enhancement (Deep Detail Variant),PAC-3 MSE,Army,Lockheed Martin,GRAND PRAIRIE,TEXAS,75051,W31P4Q20C0023,"$10,475,203,569.62",2020-04-30,2033-09-30
PAC-3 MSE (Deep Detail Variant; Consolidated),PAC-3 MSE,Army,Lockheed Martin,GRAND PRAIRIE,TEXAS,75051,W31P4Q20C0023,"$10,475,203,569.62",2020-04-30,2033-09-30
Peraton ARCYBER Information Advantage Enterprise,IAE,Army,Peraton,FORT GEORGE G MEADE,MARYLAND,20755,47QFCA19F0033,"$487,767,432.14",2019-02-11,2024-02-11
Peraton NARSIL – Advanced System Intelligence,NARSIL,IC,Peraton,HERNDON,VIRGINIA,20170,80GSFC19C0063,"$1,414,704,681.90",2019-10-01,2026-03-31
Poland WISŁA – Patriot + IBCS Foreign Military Sales,WISŁA,Army,Raytheon & Northrop Grumman,ANDOVER,MASSACHUSETTS,01810,W31P4Q15C0022,"$5,608,431,752.51",2014-12-19,2025-05-31
PRISM Support Services (Consolidated),PRISM,DoD,"11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech)",WASHINGTON,DISTRICT OF COLUMBIA,20301,47QFCA21F0018,"$1,379,603,153.12",2021-03-09,2025-02-15
Project Convergence (JADC2 Experiments),PC,Army,SAIC,COLORADO SPRINGS,COLORADO,80920,W15QKN19F1290,"$39,320,458.07",2019-08-28,2025-08-29
Protected Satcom & Tactical Waveform Communications,PTW / Protected TWF,Space Force,L3Harris,COLORADO SPRINGS,COLORADO,80916,F1962802C0010,"$2,226,709,932.96",2002-01-30,2024-09-29
Protected Tactical SatCom / Waveform,PTW,Space Force,L3Harris,COLORADO SPRINGS,COLORADO,80916,F1962802C0010,"$2,226,709,932.96",2002-01-30,2024-09-29
RUSHMORE,RUSHMORE,Space Force,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
RUSHMORE (Already normalized),RUSHMORE,Space Force,Northrop,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
SCITLS,SCITLS,DoD,GDIT,SPRINGFIELD,VIRGINIA,22150,19AQMM18C0185,"$1,495,085,754.52",2019-06-19,2029-08-07
SCITLS (Already normalized),SCITLS,DoD,GDIT,STERLING,VIRGINIA,20164,SAQMMA12C0130,"$1,219,847,693.56",2012-06-08,2019-09-07
SCORPION (classified),SCORPION,DoD,CACI (context only),RESTON,VIRGINIA,20191,GSQ0017AJ0006,"$960,038,373.03",2016-10-28,2022-02-28
SDA Tranche-0 Constellation Support,SDA Tranche-0,DoD,"Multiple primes (Lockheed, York, SpaceX, L3Harris)",GREENBELT,MARYLAND,20771,DOCDG133E09CN0094,"$1,826,479,031.57",2009-05-27,2024-01-31
Sentinel / GBSD,GBSD,Air Force,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
Sentinel / GBSD,GBSD,Air Force,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
Sentinel GBSD,GBSD,Air Force,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
Sentinel GBSD,GBSD,Air Force,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
Sentinel GBSD,GBSD / Sentinel,Air Force,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
Sentinel GBSD (AFNWC Hill AFB Variant),GBSD / Sentinel,Air Force,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
Sentinel GBSD (LGM-35A),GBSD / Sentinel,Air Force,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
Sentinel ICBM / GBSD,GBSD,Air Force,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
Sentinel Program Cybersecurity Core,Sentinel Cyber,Air Force,Northrop Grumman,ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
SITEC III – Enterprise Operations & Maintenance,SITEC III,SOCOM,Peraton,TAMPA,FLORIDA,33621,47QFCA24F0002,"$621,308,462.00",2023-10-31,2026-05-16
SOCOM Digital Applications Data Science Support,—,CIA,Iron Eagle X (now GDIT),SPRINGFIELD,VIRGINIA,22150,19AQMM18C0185,"$1,495,085,754.52",2019-06-19,2029-08-07
SOCOM Enterprise IT Support,—,SOCOM,GDIT,SPRINGFIELD,VIRGINIA,22150,19AQMM18C0185,"$1,495,085,754.52",2019-06-19,2029-08-07
SOCOM Software Solutions IDIQ,—,SOCOM,Iron Eagle X (now GDIT),SPRINGFIELD,VIRGINIA,22150,19AQMM18C0185,"$1,495,085,754.52",2019-06-19,2029-08-07
SPICE (Space Payload Integration & Cyber Eng),SPICE,Space Force,SAIC / LinQuest (indicative),SAN ANTONIO,TEXAS,78243,FA877319FA023,"$39,874,973.53",2019-04-28,2025-10-27
SSA IT Support Services Contract,ITSSC,CIA,Leidos / Accenture Federal (indicative),BALTIMORE,MARYLAND,21235,28321322FDS030130,"$1,062,905,628.31",2022-06-30,2026-09-28
STRATCOM Mission Readiness Support,SMORS,IC,Northrop Grumman (assumed),ROY,UTAH,84067,FA821920C0006,"$10,801,259,923.19",2020-09-08,2029-03-10
STRATCOM SMORS,SMORS,DoD,BAE Systems,SEALY,TEXAS,77474,W56HZV08C0460,"$4,067,162,785.79",2008-05-30,2024-09-30
SMORS – STRATCOM Mission Readiness Sustainment,SMORS,DoD,Northrop Grumman,ROY,UTAH,84067,F4261098C0001,"$10,009,419,769.13",1997-12-22,2025-11-30
